job_id,job_title,company,descriptions,location,category,subcategory,role,type,salary,listingDate
74677668,Clerical Assistant (Educational Centre),AGENSI PEKERJAAN JS STAFFING SERVICES SDN BHD,"Educational Centre
Established since 2019, total around 20 staffs
Office near to KL Gateway Mall, reachable by public transport
Responsibilities:
Assist overseas students application for local and private universities or colleges in Malaysia
Answer student enquiries
Provide advice and guidance
Requirements
Fresh Graduates are welcome to apply
1-2 years of working experience are welcome to apply
Training will be provided
Salary: RM3,000 - RM3,200 + Commissions
Working Hours:
9am - 6pm (Mon-Fri)",Bangsar South,Administration & Office Support,Administrative Assistants,clerical-assistant,Full time,"RM3,000 - RM3,200 per month",2024-03-23T01:36:35Z
74662105,Finance Executive,CapitaLand Malaysia REIT Management Sdn. Bhd.,"â€‹Job Responsibilities
Financial Pre-Qualification
Perform accounting ratio analysis based on the latest audited financial statement or management account obtained.
Liaise with relevant departments in resolving any incomplete date to meet the objective.
Generate the Financial Pre-qualification for Finance Manager review and approval before circulating to the relevant department.
Car Park Income
Reconcile parking collections against bank statements to ensure completeness in collections.
Liaise with relevant departments to resolve all reconciling items and follow-up in obtaining the relevant supporting documents.
Prepare monthly parking collections reports for management review and approval as well as filing for documentation completeness.
To handle both external/Internal audit on car park income matters.
Other matters
Assist Finance Manager to perform:
a) Monthly variance analysis on revenue and operating expenses
b) Consolidate monthly results for country reporting
Assist relevant department to request for Asset Number when raising PO.
Perform any other duties, which may be assigned or directed by the line of report from time to time.
Support other entities within the Group or special project as and when assigned.
Requirements
At least a Bachelor's Degree In Finance, Accountancy or equivalent.
Completed ACCA or MICPA. Finalists of ACCA or MICPA with the relevant work experience are encouraged to apply.
Minimum 2 years of relevant work experience.
Proficiency in Microsoft Office such as Excel and PowerPoint.
Good analytical, communication and interpersonal skills.
Committed and a strong team player with sense of urgency.
Able to work independently in a dynamic environment.
Fresh graduates are encouraged to buy.
Location : Kuala Lumpur - Naza Tower, Persiaran KLCC",Kuala Lumpur City Centre,Accounting,Analysis & Reporting,finance-executive,Full time,,2024-03-22T08:00:47Z
74664838,Purchasing Assistant,OTC Cosmetic Industries Sdn Bhd,"Requirements
Candidate must possess at least SPM or Diploma in management or equivalent.
Required language English, Bahasa Malaysia, Mandarin. (Read & Write)
Candidate with Mandarin speaking dialect will be an added advantage as required to deal with Mandarin speaking suppliers or vendors.
Candidate with background of cosmetic line would be an added advantage.
Preferably Junior Executive specialized in Manufacturing / Operations / Logistics or Equivalent.
A person with a ""Can Do"" attitude are highly preferred.
A person that is cost sensitive and figure minded would be an added advantage.
A person with a positive mindset and willing to develop and grow further together with the Company in the future.
Able to adapt with a fast paced working environment culture.
Responsibility
Issue PO to supplier with reasonable price.
Monitor delivery of goods to ensure on time delivery without any further delay.
Handle documentation.
Verifying suppliers invoice, credit note and also payment accuracy.
Handling Raw Material (RM) and Packaging Material (PM) purchase to meet the production needs and requirements.
Assist Procurement Manager to complete all the tasks.
Dealing and working closely with Warehouse / Planning Teams on related material or goods that is required for production team to run.
Dealing with China vendors or suppliers some of the time on raw materials, packaging materials and etc.
Benefit & Advantages:
Monthly & yearly KPI incentive
Training and development
The company firmly believes that talent training is an important measure to achieve corporate strategic goals, and helps the company strive to improve the training system and talent development model to guide employees' career growth
Training includes:
ïƒ¼Â New employee induction training
ïƒ¼Â Key employee training plan and execution
ïƒ¼Â Opportunity for participating in lean management professional training taught by lean management experts from top children's cosmetics enterprises from China every month
ïƒ¼Middle and senior management training and other forms of learning and promotion opportunities
Good personal career development platform",Kuala Selangor District,"Manufacturing, Transport & Logistics","Purchasing, Procurement & Inventory",purchasing-assistant,Full time,"RM1,600 - RM2,000 per month",2024-03-22T09:29:08Z
74676786,Penetration Tester,MODE FAIR SDN BHD,"Overview:
We are seeking an experienced Security Penetration Tester to join our Information Security team. This role is pivotal in identifying and mitigating vulnerabilities within the systems and infrastructures we manage and develop for our clients. By ensuring our clients' defenses are rigorously tested against the latest threats, the ideal candidate will play a critical role in safeguarding our clients' digital environments against evolving security challenges.
Responsibilities:
Perform thorough source code reviews to detect potential security vulnerabilities and weaknesses in applications we develop, leveraging insights from industry best practices and previous projects.
Simulate cyber-attacks on our managed digital environments to uncover vulnerabilities, focusing on a wide array of threats including SQL injection, cross-site scripting, privilege escalation, and more, ensuring robust security measures are in place.
Conduct comprehensive penetration testing (internal, external, white box, and black box tests) to proactively identify vulnerabilities within the systems and infrastructures we manage and develop for our clients.
Collaborate closely with our development and infrastructure teams to recommend and implement security improvements, ensuring the integration of best practices in security within the systems and applications we deliver to our clients.
Prepare detailed reports and risk assessments for both internal stakeholders and clients, highlighting identified vulnerabilities, the results of penetration tests, and recommended mitigation strategies.
Stay abreast of the latest security trends, tools, and technologies, applying this knowledge to continuously enhance the security posture of our clients' systems and applications.
Qualifications:
Bachelorâ€™s or Masterâ€™s degree in Computer Science, Information Security, or a related field.
Demonstrated experience in security penetration testing, including conducting source code reviews and penetration tests for a diverse range of clients.
Strong understanding of network protocols, cryptography, web and application security principles.
Proficient with penetration testing tools such as Metasploit, Burp Suite, Nessus, Kali Linux's tools, and others.
Experience with programming and scripting languages (Java, JavaScript and others).
Knowledge of operating system internals, particularly with respect to security (Linux, Windows).
Relevant security certifications (OSCP, CEH, GPEN, etc.) are considered a plus, highlighting a commitment to professional development and expertise in the field.
Excellent problem-solving skills and ability to think like both an attacker and a defender.
Strong communication skills, with the ability to present findings and recommendations in a clear and concise manner.",Kuala Lumpur,Information & Communication Technology,Security,penetration-tester,Full time,,2024-03-22T23:59:12Z
74661211,Accounts Executive,Binastra Land Sdn Bhd,"Job Description
Prepare of monthly project financial reports.
Liaison with project's executive or person in-charge for progress claim, invoice, payment & others.
To prepare and process payment including subcontractors, suppliers, site/ staff claim, office utilities payment to avoid project interruption.
Issuance of accounting documents, requisition form, PO, invoice and ensure all procedure and documents are in proper order, acknowledge/ approved by related management.
Monitor and update general expenses for the project.
To manage & key in data accurately into accounting systems.
To support site administration on various issues of the project requirement.
To perform ad-hoc task when required
Qualifications
Diploma in Accounting, Finance,Â equivalent discipline.
Familiarity with accounting software (AutoCount, IFCA) and systems.
Strong knowledge of accounting principles and standards.
Working experience in Property Developer & Construction background will be an added advantage.
Excellent analytical and problem-solving skills.
Effective communication and interpersonal skills.
Able to meet tight deadlines, work under minimum supervision multitasker & team player.",Bukit Jalil,Accounting,Bookkeeping & Small Practice Accounting,accounts-executive,Full time,"RM3,500 - RM4,000 per month",2024-03-22T07:20:34Z
74654698,HR & Admin Executive,Mazone Service,"Office based in Penang - Bayan Baru
Job Descriptions:
Manage the recruitment and onboarding process, ensuring vacancies are filled with high-quality candidates within agreed timelines.
Undertake miscellaneous tasks directed by supervisors or management.
Administer HR policies and procedures, ensuring compliance with relevant regulations and laws.
Process monthly payroll and ensure timely statutory submissions related to payroll.
Oversee employee relations, including performance management, conflict resolution, and employee engagement initiatives.
Maintain employee records and HR databases, ensuring accuracy and confidentiality.
Partner with cross-functional teams to drive initiatives related to diversity, equity, and inclusion.
Requirements:
Bachelorâ€™s degree in Human Resources, Business Administration, or related field.
At least 1 Year(s) of working experience in the related field is required for this position.
Proven experience in HR roles, with a deep understanding of HR principles and practices.
Ability to maintain confidentiality and handle sensitive information with discretion.
Exceptional problem-solving abilities and a proactive approach to addressing challenges.
Excellent communication, interpersonal skills, and attention to details
Able to work independently and as part of a team.
Why Join Us?
Opportunity to be part of a dynamic and growing organization.
Competitive salary and benefits package.
Supportive and collaborative work environment.
EPF, SOCO, Medical Leave, Annual Leave, and Insurance coverage are available.
Allowance and bonus will be given.
** Immediate availability or short notice period is preferred**
We regret that only shortlisted candidates will be notified.",Penang Island,Human Resources & Recruitment,Consulting & Generalist HR,Human-Resources-and-Administration-Executive,Full time,"RM3,000 - RM4,000 per month",2024-03-22T05:49:27Z
74660694,Audit Assistant,William C.H. Tan & Associates,"Why Join Us?
The objective of our organization has always been to provide each and every client of ours with the best service and therefore, we are continuously looking for suitable candidates that are able to represent our firm to provide our clients with this type of service.
We practise a vibrant & energetic office culture. Good performance is always rewarded accordingly. We provide opportunities for career advancement within the company.
Job Responsibilities:
To undertake the planning and execution of statutory audits of companies in varied industries in accordance to approved standards on auditing in Malaysia, MPERS and MFRS.
Performing tests of controls, audit testing, and preparation of audit paperwork and relevant documentation in accordance with standards and requirements.
To liaise with audit managers, partners and clients as and when necessary to report on job progress and other critical issues.
To undertake special assignments on an ad-hoc basis, eg financial due diligence, special investigations, corporate advisory, merger and acquisition exercises, etc
The ideal candidate should have:
A recognised degree in Accountancy and/or professional accounting qualifications such as ACA, ACCA, CPA Australia or equivalent.
Fresh graduates are encouraged to apply for audit junior position.
Good communications and analytical skills.
Willing to travel outstation and oversea.
Proficiency in English is essential.
Those with experience in using CCH ProSystem fx Engagement audit software and Brasstax will have an added advantage.",Petaling,Accounting,Audit - External,audit-assistant,Full time,,2024-03-22T07:01:09Z
74634385,Admin cum HR Executive,Alpha Automation (Selangor) Sdn Bhd,"Job Responsibilities:
Support Senior Management to ensure office administrative tasks are completed
Coordinate meetings, compile documents, travel bookings, records or data upkeeping
Ensure visitors are attended, vendor documentations completed and respond to email communications on timely basis
Maintain administrative system and e-documents
Assist in end-to-end recruitment process
Plan & organize staff engagement activities and company events i.e. Teambuilding, Birthday, Dinner, etc.
Quotation sourcing, comparisons and negotiation between suppliers
Address employee inquiries, concerns, and conflicts in a timely and professional manner
Assist with scheduling appointments, office maintenance and others when necessary
Any other ad-hoc tasks when required by the Management.
Job Requirements:
Diploma/Degree in Business Administration or related field
At least 3 years of administration support experience and support HR matters
Able to support and maintain assigned administration as and when required
Good communication and interpretation skills
Independent, friendly and neat
Proficiency in MS Office (e.g., Word and excel)
Candidate fluent in Mandarin necessary as role requires candidate to deal with Mandarin speaking team.
Able to start work immediately",Shah Alam/Subang,Administration & Office Support,Administrative Assistants,Human-Resources-and-Administration-Executive,Full time,,2024-03-21T07:29:26Z
74667994,Key Account Executive (Chemistry/Oil & Gas),Chemopharm Sdn Bhd,"Join our dynamic team as a Key Account Executive for the Oil & Gas industry. We are seeking a results driven and strategic sales professional to lead our key account management initiatives in East Malaysia, based in either Sabah and Sarawak. If you have a track record or passion in exceeding sales targets and building lasting client relationships in the energy industry, we want to hear from you.
You will play an important role to:
Manage key accounts in oil and gas industry to achieve sustainable business growth.
Be the key contact point of customer for sales, services, technical support request.
Responsible to develop new account to expand the oil & gas business.
Promote and market product in assigned key account to achieve annual sales target.
Involve in marketing activities planning and strategy development.
Execute/drive the marketing activity in assigned key account.
Stay abreast with market dynamics, competitor activities and industry trends.
Work closely with application specialists, product specialists and service team to ensure customer expectation/requirement met.
Provide accurate sales forecasts and contribute to overall business planning.
To be successful in this role, you would require:
At least a degree in Chemistry or similar field.
At least 2-3 yearsâ€™ experience in sales and marketing particularly in Oil & Gas Instrumentation.
Possess good verbal and written communication skills in Bahasa Malaysia and English.
Possess a car and valid Malaysian driving license.
Able to travel extensively.
Based in Sabah or Sarawak.",Sarawak,Sales,Account & Relationship Management,Key-Account-Executive,Full time,"RM3,500 - RM5,000 per month",2024-03-22T09:52:58Z
74673679,Operations Engineer,Direct Access Solutions Sdn. Bhd.,"Job Responsibilities
Responsible for ensuring the normal operation of servers
Able to promptly address customer issues and provide timely feedback
Capable of independently writing scripts to improve and optimize operational efficiency
Responsible for the installation, debugging, and daily maintenance of network and desktop equipment
Capable of handling and resolving complex malfunction issues, as well as performing network environment monitoring, alarm, and trace work
Can undertake the construction, update, and expansion of medium-sized network projects
Job Requirements
Bachelor's degree or higher in computer science, communication, or related fields
Experience in automation operations and maintenance using Python, shell, or similar is preferred
Prior experience in constructing or maintaining data center networks is preferred
Experience in futures or securities-related work is preferred
Strong communication, coordination, responsibility, and dedication, as well as strong problem expression and overall planning abilities are required
Solid knowledge of computer networks, familiarity with mainstream vendors' equipment such as switches, routers, firewalls, etc.
Experience with Linux environments is preferred
è¿ç»´å·¥ç¨‹å¸ˆ
å²—ä½èŒè´£
è´Ÿè´£ä¿éšœæœåŠ¡å™¨æ­£å¸¸è¿è¡Œ
èƒ½å¤Ÿç¬¬ä¸€æ—¶é—´å¤„ç†å®¢æˆ·é—®é¢˜ï¼Œå¹¶åŠæ—¶ç»™äºˆåé¦ˆ
æœ‰ç‹¬ç«‹ç¼–å†™è„šæœ¬èƒ½åŠ›æ”¹å–„ä¼˜åŒ–è¿ç»´å·¥ä½œæ•ˆçŽ‡
è´Ÿè´£æ—¥å¸¸ç½‘ç»œè®¾å¤‡ã€æ¡Œé¢è®¾å¤‡çš„å®‰è£…è°ƒè¯•ã€æ—¥å¸¸è¿ç»´å·¥ä½œ
èƒ½å¤„ç†å’Œè§£å†³å¤æ‚çš„æ•…éšœé—®é¢˜ï¼Œå¹¶åšå¥½ç½‘ç»œçŽ¯å¢ƒçš„ç›‘æŽ§æŠ¥è­¦åŠæº¯æºå·¥ä½œ
èƒ½æ‰¿æ‹…ä¸­åž‹ç½‘ç»œé¡¹ç›®çš„å»ºè®¾ã€æ›´æ–°ã€æ‰©å®¹ç­‰å®žæ–½ã€‚
å²—ä½è¦æ±‚
è®¡ç®—æœºã€é€šä¿¡ç­‰ç›¸å…³ä¸“ä¸šæœ¬ç§‘ä»¥ä¸Š
å…·å¤‡Pythonã€shellç­‰è‡ªåŠ¨åŒ–è¿ç»´ç»åŽ†ä¼˜å…ˆ
æœ‰å»ºè®¾æˆ–è¿ç»´æ•°æ®ä¸­å¿ƒç½‘ç»œçš„ç»åŽ†ä¼˜å…ˆ
æœŸè´§è¡Œä¸šç»åŽ†ä¼˜å…ˆ
å…·æœ‰è¾ƒå¼ºçš„æ²Ÿé€šåè°ƒèƒ½åŠ›ã€è´£ä»»å¿ƒå’Œæ•¬ä¸šç²¾ç¥žã€å…·æœ‰è¾ƒå¼ºçš„é—®é¢˜è¡¨è¾¾èƒ½åŠ›å’Œæ€»ä½“è§„åˆ’èƒ½åŠ›
å…·æœ‰æ‰Žå®žçš„è®¡ç®—æœºç½‘ç»œçŸ¥è¯†ï¼Œå¹¶ç†Ÿæ‚‰ä¸»æµåŽ‚å•†çš„äº¤æ¢æœºã€è·¯ç”±å™¨ã€é˜²ç«å¢™ç­‰è®¾å¤‡
LinuxçŽ¯å¢ƒç»åŽ†ä¼˜å…ˆ",Kuala Lumpur,Information & Communication Technology,Engineering - Software,operations-engineer,Full time,"RM5,000 - RM7,000 per month",2024-03-22T13:41:04Z
74654293,Assistant Human Capital Manager/ Senior Human Capital Executive,Yoke Food Industries Sdn. Bhd.,"Job Responsibilities:
This role is required to support HC Manager in full spectrum HC functions which include payroll administration, recruitment, compensation & benefits, industrial relations, training & development and performance management.
Ensure compliance of local regulations & implementation of HC policies
Maintain proper & accurate records.
Active involvement & participation in HC improvement projects.
Prepare various monthly, quarterly HC reports.
Attend to internal audit, regulatory audits and statutory manpower surveys.
Responsible for timely payroll processing & submission of payroll related statutory payments.
Provide coaching and training to subordinate.
As part of HC Shared Service Team to deliver HC Services that meet the service level agreement (SLA).
Any other duties as assigned by the Management.
Job Requirements:
Degree in Human Resources Management or equivalent.
Minimum 8 years of HR experience with payroll experience.
Good command of English.
Well verse in Malaysia Employment Act and statutory legislation related to compensation and benefits.
Mature, attention to detail, good time management, and strong analytical skills.
Has ability to act with Integrity, Professionalism and Confidentiality
Proficient in MS Office and good knowledge of HRIS.",Kulai District,Human Resources & Recruitment,Consulting & Generalist HR,Human-Capital-Executive,Full time,,2024-03-22T05:45:19Z
74677606,Invoicing Assistant,SUNGIL TECH SDN BHD,"Qualifications & experience
can speak Chinese and English
Tasks & responsibilities
Help companies with invoicing and quoting
Benefits
Harmonious office environment",Selangor,Administration & Office Support,Administrative Assistants,Invoicing-Assistant,Full time,"RM2,500 - RM3,000 per month",2024-03-23T01:22:28Z
74658688,Account cum Admin Executive,Dessert Captain Sdn Bhd,"We are a group of young team who are looking to strive for excellence in food & beverage industry. As we are expanding, and if you are looking for a startup feel of company and looking for even more challenges to take on, come and be part of us!
Job Highlights
Good career prospect for individuals anticipating to be a team le
We provide opportunities & on job training for career development
Your responsibilities will be:
Responsible for the full set account
Ensure timely billing to stakeholders and compliance with AR & AP procedures by generating and raising invoices, debit, and credit notes
Perform comprehensive accounting and tax service
Assist in monitoring the cash-flow position and ensure adequate fund for operation
Coordinate & facilitate Annual Financial Audit Process
Perform other ad-hoc duties as assigned by the Management / head of department
What youâ€™ll need:
Candidate must possess at least a Bachelor Degree in Finance/Accountancy/ACCA or equivalent
Required languages: Bahasa Malaysia, English Minimum 1 year of working experience
Committed, analytical, self-motivated and able to work independently
Good communication and interpersonal skill, meticulous, able to work under pressure and meet tight deadlines
A team player with high degree of honesty and integrity
Able to start immediately is an added advantage
Working in F&B industry is added advantage
Fresh graduates
are encouraged to apply as well!
What youâ€™ll benefit:
Â· An environment that values and fosters a growth mindset
Â· Annual bonus and staff loyalty benefits
Â· Rewarding opportunities with on job training",Shah Alam/Subang,Accounting,Bookkeeping & Small Practice Accounting,Accounts-and-Administration-Executive,Full time,"RM2,800 - RM3,500 per month",2024-03-22T06:19:09Z
